num_episode,v_behavior,v_target,v_gain,v_behavior_std,v_target_std,v_gain_std,offline_method,loss,model,time
0,102.74147614166039,87.5738737967319,0.8477701612189952,12.59197336128982,189.04338805292434,1.7690167024905088,WIS,,MARWILTrainer,2014.458161830902
1,102.05520254822338,94.74193992287492,0.9172265185151239,14.364121592959494,223.73948521292016,2.0956209980294482,WIS,,MARWILTrainer,2014.458161830902
2,102.73682376433572,97.40924036888781,0.9359743768236716,12.692780019965738,229.6166961147906,2.1542198490368065,WIS,,MARWILTrainer,2014.458161830902
3,102.33843338131484,96.9186611446167,0.9328132390119007,14.21041077047999,230.57547195499185,2.163032928304191,WIS,,MARWILTrainer,2014.458161830902
4,102.43312026962589,97.63254984993326,0.9505233145107992,13.647651312546444,231.7187164244515,2.1837910154627216,WIS,,MARWILTrainer,2014.458161830902
5,102.54673114006083,97.77083200053444,0.9397120109180838,12.656080893491927,233.39363892687092,2.191263028516713,WIS,,MARWILTrainer,2014.458161830902
6,102.43937832640128,90.20814395856566,0.8660560247729893,13.968174733672294,215.75155078240658,2.0139773943650727,WIS,,MARWILTrainer,2014.458161830902
7,102.25269137768603,95.11909238949592,0.9245172835144345,14.498966053046985,229.59985108269262,2.169383375713222,WIS,,MARWILTrainer,2014.458161830902
8,102.45491068775415,96.24912513336339,0.9245248389658413,13.184535557408191,233.3219864010473,2.1891270538565486,WIS,,MARWILTrainer,2014.458161830902
9,102.3383017289212,98.20267191593578,0.9450004576016511,13.475497117477964,234.03745508959568,2.1979089658135194,WIS,,MARWILTrainer,2014.458161830902
10,102.61935580124174,97.46299389700442,0.9358322194264104,13.247511272075135,234.18560630935403,2.1990197936292146,WIS,,MARWILTrainer,2014.458161830902
11,102.52201846689138,97.86769985658772,0.9402170607978918,13.16375148936953,233.94886692604643,2.1974043430043166,WIS,,MARWILTrainer,2014.458161830902
12,102.44381969085222,98.02128823289515,0.944665787319303,12.887894888606994,234.47987848977814,2.202430167838221,WIS,,MARWILTrainer,2014.458161830902
13,102.54651872425306,90.60219179978758,0.8699711206142371,12.86963552681211,217.1781286066177,2.0281521311431603,WIS,,MARWILTrainer,2014.458161830902
14,102.6672066229998,98.68918985645463,0.9498454969401808,13.466870349777043,234.55261224993637,2.202915884947336,WIS,,MARWILTrainer,2014.458161830902
15,102.20909964996245,92.85015875168257,0.8988860538974286,13.215433683964122,230.2188190306292,2.1745924063896065,WIS,,MARWILTrainer,2014.458161830902
16,102.54179142624048,97.91370120937042,0.941309097266512,13.034125325024593,234.9235406134678,2.2068157129282535,WIS,,MARWILTrainer,2014.458161830902
17,102.31158073018513,98.40002061670697,0.9489433518288662,14.323819205582502,234.85605506668153,2.205383032638033,WIS,,MARWILTrainer,2014.458161830902
18,102.44082784341421,97.3868864034786,0.9350605807464905,13.719694651776283,234.49596248172412,2.202397190980195,WIS,,MARWILTrainer,2014.458161830902
19,102.57564830690885,98.07094840054167,0.9426867468570236,12.799634697491983,234.9771855244757,2.207162014460664,WIS,,MARWILTrainer,2014.458161830902
20,102.32619434431867,92.40051994816707,0.8903849795694748,13.609217915675355,218.11370014502612,2.0392999500592666,WIS,,MARWILTrainer,2014.458161830902
21,102.33089085562821,96.48598864672638,0.9350112236778944,14.619317193541024,234.09957318407345,2.200433038301862,WIS,,MARWILTrainer,2014.458161830902
22,102.75364273380873,93.86384120838825,0.9076900392672461,12.633555028940835,230.92182697298958,2.181888365659998,WIS,,MARWILTrainer,2014.458161830902
23,102.0547653228741,96.88196621994875,0.9412497792551657,14.305955116737605,234.51252286583835,2.2065675926367834,WIS,,MARWILTrainer,2014.458161830902
24,102.40275222042445,98.10695639638405,0.945767044212447,13.919830234699425,235.21814042011482,2.2091810368268945,WIS,,MARWILTrainer,2014.458161830902
25,102.69773852004312,97.93108185238583,0.9404022607416573,12.971634647364146,235.13931235338285,2.2085430257259673,WIS,,MARWILTrainer,2014.458161830902
26,102.47408252458926,98.42461154946275,0.953554319568172,13.346537003230054,234.7343922943828,2.207872148902261,WIS,,MARWILTrainer,2014.458161830902
